ranking,world_rank,university,presence_rank,impact_rank,openness_rank,excellence_rank
266.0,5361.0,National Institute of Public Finance and Policy,11830.0,9405.0,5350.0,4895.0
267.0,5364.0,P T Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences Rohtak,20181.0,9876.0,11400.0,3434.0
268.0,5370.0,Junagadh Agricultural University,7812.0,10526.0,4127.0,4895.0
269.0,5370.0,Dr Ram Manohar Lohia Avadh University,12506.0,9602.0,5068.0,4895.0
270.0,5382.0,Bundelkhand University Jhansi,14683.0,10478.0,7301.0,4466.0
271.0,5429.0,Kerala Agricultural University,5733.0,7301.0,3846.0,5567.0
272.0,5436.0,(1) Christ University Bengaluru,4916.0,5144.0,3069.0,6020.0
273.0,5471.0,Shobhit University,21045.0,10983.0,4624.0,4653.0
274.0,5498.0,Nizam's Institute of Medical Sciences,14649.0,11806.0,11400.0,3189.0
275.0,5528.0,Kannur University,17362.0,8899.0,11400.0,3847.0
276.0,5627.0,Guru Ghasidas University,27495.0,8834.0,8358.0,4466.0
277.0,5650.0,Christian Medical College Ludhiana,17696.0,12865.0,7743.0,4127.0
278.0,5664.0,West Bengal University of Animal and Fishery Sciences,21966.0,13587.0,5247.0,4256.0
279.0,5686.0,National Institute of Mental Health and Neuro Sciences,7938.0,6778.0,1586.0,6020.0
280.0,5729.0,Chaudhary Devi Lal University,1202.0,12695.0,5577.0,4755.0
281.0,5755.0,St Joseph's Institute of Management Trichy,21030.0,4446.0,4486.0,6020.0
282.0,5760.0,Periyar Maniammai University,20034.0,13143.0,4053.0,4553.0
283.0,5823.0,West Bengal State University,18642.0,11938.0,11400.0,3369.0
284.0,5861.0,Sardar Vallabhbhai National Institute of Technology Surat,8883.0,7384.0,1455.0,6020.0
285.0,5881.0,Rajiv Ghandi Technical University / Rajiv Gandhi Proudyogiki Vishwavidyalaya,17739.0,9106.0,11400.0,4082.0
286.0,5891.0,Rani Durgavati Vishwavidyalaya Jabalpur,13322.0,9716.0,11400.0,4016.0
287.0,5902.0,Indian Institute of Space Science & Technology,11428.0,7263.0,1571.0,6020.0
288.0,5917.0,Dr Y S Parmar University of Horticulture and Forestry,15113.0,10169.0,3558.0,5275.0
289.0,5929.0,Armed Forces Medical College,18798.0,8931.0,11400.0,4127.0
290.0,5949.0,All India Institute of Medical Sciences Rishikesh,13097.0,6701.0,2347.0,6020.0
291.0,5970.0,Uttarakhand Technical University,14475.0,10432.0,11400.0,3912.0
292.0,5984.0,Indian Institute of Management Indore,12120.0,5652.0,4391.0,6020.0
293.0,5992.0,Mahatma Gandhi University Kerala,4505.0,7001.0,3157.0,6020.0
294.0,6001.0,Indian Statistical Institute Delhi,9169.0,7503.0,1856.0,6020.0
295.0,6028.0,Indian Institute of Technology Mandi,8215.0,7453.0,2106.0,6020.0
296.0,6040.0,Somaiya Vidyavihar,5276.0,6620.0,3879.0,6020.0
297.0,6065.0,All India institute of Medical Sciences Jodhpur,9829.0,6982.0,2884.0,6020.0
298.0,6099.0,Himachal Pradesh Agricultural University,10255.0,10139.0,5206.0,5275.0
299.0,6103.0,Chitkara University,6987.0,6623.0,4012.0,6020.0
300.0,6132.0,S P Jain Institute of Management and Research,12925.0,5363.0,5587.0,6020.0
301.0,6140.0,CEPT University Center for Environmental Planning & Technology State University,6531.0,5787.0,5572.0,6020.0
302.0,6140.0,PSG College of Arts and Science,20188.0,16650.0,5458.0,4016.0
303.0,6194.0,Indian Institute of Technology Rajasthan,8607.0,7497.0,2863.0,6020.0
304.0,6203.0,Rajiv Gandhi University of Health Sciences,2985.0,7632.0,11400.0,4755.0
305.0,6209.0,(1) Shri Govindram Seksaria Institute of Technology & Science,18866.0,14712.0,4260.0,4553.0
306.0,6216.0,Andhra University Visakhapatnam,13858.0,6986.0,3250.0,6020.0
307.0,6216.0,(3) Pondicherry University Bioinformatics Centre,12075.0,6481.0,4274.0,6020.0
308.0,6236.0,Mother Teresa Women's University,19462.0,10430.0,11400.0,4016.0
309.0,6240.0,Indian Statistical Institute Bangalore,9040.0,6993.0,3889.0,6020.0
310.0,6245.0,Dayanand Medical College & Hospital,14313.0,15260.0,6878.0,4256.0
311.0,6245.0,Hemchandracharya North Gujarat University,8202.0,8753.0,8270.0,5275.0
312.0,6264.0,Shri Guru Gobind Singhji Institute of Engineering,14512.0,6976.0,3467.0,6020.0
313.0,6268.0,Ashoka University,14092.0,6436.0,4420.0,6020.0
314.0,6272.0,Indian Institute of Forest Management Bhopal,19262.0,9114.0,4106.0,5567.0
315.0,6285.0,All India institute of Medical Sciences Bhopal,14531.0,7789.0,2334.0,6020.0
